,id,name,slug,st_x,st_y,district,state,region,panchayat,sub_district_type_id,sub_district_name
198,686,Baganchra,686-baganchra,23.2645399,88.4380966,Nadia,West Bengal,,,1.0,Santipur
199,687,Sohpdok,687-sohpdok,25.7468085,91.8891675,Ri Bhoi,Meghalaya,,,1.0,Umsning
200,688,Darlong,688-darlong,27.4231261,93.0175712,East Kameng,Arunachal Pradesh,,,,
201,689,Ichapur,689-ichapur,22.7674278,88.3883455,North 24 Parganas,West Bengal,,,1.0,Barrackpore
202,690,Nandapur,690-nandapur,23.9742977,88.6265475,Nadia,West Bengal,,,1.0,Karimpur II
203,691,Kozhimala,691-kozhimala,9.7568348,77.116864,Idukki,Kerala,,,1.0,Kattappana
204,692,Melermath,692-melermath,23.2645399,88.4380966,Nadia,West Bengal,,,1.0,Santipur
205,693,Forti,693-forti,29.4041783,80.0842224,Champawat,Uttarakhand,,,4.0,Lohaghat
206,287,Almora,287-almora,29.5892407,79.646666,Almora,Uttarakhand,,,1.0,
207,309,Arogi,309-arogi,30.3713708,78.3643119,Tehri Garhwal,Uttarakhand,,,1.0,Pratapnagar
208,377,Assawarpur,377-assawarpur,28.9287735,77.091281,Sonepat,Haryana,,,1.0,
209,135,Baran,135-baran,25.1,76.52,Baran,Rajasthan,,,1.0,
210,253,Barwani,253-barwani,22.0363157,74.903339,Barwani,Madhya Pradesh,,,1.0,
211,109,Chingariya,109-chingariya,21.2129962,70.1478132,Jūnāgadh,Gujarat,,,,
212,694,Masap Para,694-masap-para,22.1737936,87.3809471,Paschim Medinipur,West Bengal,,,1.0,Narayangarh
213,16,Garanji,16-garanji,19.8189282,80.1902963,Garhchiroli,Maharashtra,,,,
214,30,Kalahandi,30-kalahandi,19.9137363,83.1649001000001,Kalahandi,Odisha,,,,
215,124,Katchincholi,124-katchincholi,19.371553,75.7981902,Bid,Maharashtra,,,,
216,696,Aulakunnu,696-aulakunnu,9.3772533,76.3577837,Alappuzha,Kerala,,,1.0,Ambalapuzha
217,685,Tergaria,685-tergaria,22.1737936,87.3809471,Paschim Medinipur,West Bengal,,,1.0,Narayangarh
218,125,Khorjuna,125-khorjuna,23.9836381,87.9316418999999,Murshidabad,West Bengal,,,,
219,1,Pune,1-pune,18.5204303,73.8567436999999,Pune,Maharashtra,,,,
220,110,Wara Kavtha,110-wara-kavtha,19.9912628,78.2903239,Yavatmal,Maharashtra,,,,
221,699,Muthanga,699-muthanga,11.6656117,76.2626653,Wayanad,Kerala,,,1.0,Sulthanbathery
222,700,Tabo,700-tabo,32.0932586,78.3856447,Lahaul and Spiti,Himachal Pradesh,,,4.0,Spiti
223,701,Paridhyana,701-paridhyana,29.4041783,80.0842224,Champawat,Uttarakhand,,,4.0,Lohaghat
224,698,Rajganj,698-rajganj,26.5601067,88.5159151,Jalpaiguri,West Bengal,,,1.0,Rajganj
225,680,Santipur,680-santipur,23.2645399,88.4380966,Nadia,West Bengal,,,1.0,Santipur
226,697,Sen Para,697-sen-para,23.2645399,88.4380966,Nadia,West Bengal,,,1.0,Santipur
